sku;custo;imposto;observacao
POLTRONAEROS-BRANCO;480,00;7%;padrão da família Eros (café/caramelo/offwhite/preto já = 480) — planilha 03/09/2026
POLTRONAEROS-MARROM;480,00;7%;padrão da família Eros (café/caramelo/offwhite/preto já = 480) — planilha 03/09/2026
SOFAYARAFORNEC-GRAFITE140;650,0;9%;padrão da família (marrom/cinza/bege140 já = 650) — planilha 03/09/2026 confirma R$650
SOFABENY-LINHOVERDE180;610,0;7%;padrão linho 180 (grafite/bege/cinza/azul já = 610) — planilha 03/09/2026 confirma R$610
SOFAMILAO-PRETO;600,0;7%;alias sem sufixo — mesmo custo de SOFAMILAO-PRETO180 (MLB5179014567/MLB7580389186 são 180cm)
SOFACAMA-AZULMARINHO;747,00;7%;Sofá Cama Decoralli Mobily 184cm — confirmado pelo Neto 03/09/2026
SOFACAMA-VERDE;747,00;7%;Sofá Cama Decoralli Mobily 184cm — confirmado pelo Neto 03/09/2026
SOFACAMA-PRETO;747,00;7%;Sofá Cama Decoralli Mobily 184cm — confirmado pelo Neto 03/09/2026
SOFACAMA-MARROM;747,00;7%;Sofá Cama Decoralli Mobily 184cm — confirmado pelo Neto 03/09/2026
SOFACAMA-TERRACOTA;747,00;7%;Sofá Cama Decoralli Mobily 184cm — confirmado pelo Neto 03/09/2026
SOFACAMA-CINZA;747,00;7%;Sofá Cama Decoralli Mobily 184cm — confirmado pelo Neto 03/09/2026
SOFACAMA-BEGE;747,00;7%;Sofá Cama Decoralli Mobily 184cm — confirmado pelo Neto 03/09/2026
POLTRONABENY-LINHOPRETO;350,00;7%;promovido da linha solta "beny linho preto" — Daniel confirmou que a Poltrona Beny Preto é linho de verdade; custo ainda não separado do genérico, revisar se vier valor próprio como o Corino (R$374,50) — 03/09/2026
POLTMONA_LINHOBEGE;340,00;7%;renomeado de POLTRONAMONA-BEGE (padrão SKU do Daniel) — 03/09/2026
POLTMONA_CORINOCARAMELO;340,00;7%;renomeado de POLTRONAMONACORINOCARAMELO (padrão SKU do Daniel) — 03/09/2026
POLTMONA_VELUDOAZUL;340,00;7%;renomeado de POLTRONAMONA-VELUDOAZUL (padrão SKU do Daniel) — 03/09/2026
POLTMONA_LINHOAZUL;340,00;7%;renomeado de POLTRONAMONA-VELUDOAZUL (padrão SKU do Daniel) — mesma origem que o veludo, revisar se linho tem custo próprio — 03/09/2026
POLTGRECIA_LINHOBEGE;340,00;7%;renomeado de PUFFGRECIA-BEGE (padrão SKU do Daniel) — 03/09/2026
POLTGRECIA_LINHOCAPUCCINO;340,00;7%;renomeado de PUFFGRECIA-CAPUCCINO (padrão SKU do Daniel) — 03/09/2026
POLTGRECIA_LINHOCINZA;340,00;7%;renomeado de PUFFGRECIA-CINZA (padrão SKU do Daniel) — 03/09/2026
PUFFELEGANCE_LINHO/CORINOCINZA;340,00;7%;renomeado de PUFFELEGANCE-CINZAPRETO (padrão SKU do Daniel) — 04/09/2026
PUFFELEGANCE_LINHO/CORINOOFFWHITE;340,00;7%;renomeado de PUFFELEGANCE-OFFWHITECARAMELO (padrão SKU do Daniel) — 04/09/2026
POLTBENY_LINHOPRETO;350,00;7%;renomeado de POLTRONABENY-LINHOPRETO (padrao SKU do Daniel) - 04/09/2026
POLTEROS_CORINOBEGE;480,00;7%;renomeado de POLTRONAEROS-OFFWHITE (padrao SKU do Daniel) - 04/09/2026
POLTEROS_CORINOCARAMELO;480,00;7%;renomeado de POLTRONAEROS-CARAMELO (padrao SKU do Daniel) - 04/09/2026
POLTEROS_CORINOPRETO;480,00;7%;renomeado de POLTRONAEROS-PRETA (padrao SKU do Daniel) - 04/09/2026
POLTMONA_CORINOPRETO;340,00;7%;renomeado de POLTRONAMONA-CORINOPRETO (padrao SKU do Daniel) - 04/09/2026
POLTMONA_LINHOCINZA;340,00;7%;renomeado de POLTRONAMONA-CINZA (padrao SKU do Daniel) - 04/09/2026
SFBENY140_CORINOPRETO;670,00;7%;renomeado de SOFABENY-CORINOPRETO140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOAZUL;580,00;7%;renomeado de SOFABENY-LINHOAZUL140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOBEGE;580,00;7%;renomeado de SOFABENY-BEGE140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOCINZA;580,00;7%;renomeado de SOFABENY-CINZA140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOVERDE;580,00;7%;renomeado de SOFABENY-LINHOVERDE140 (padrao SKU do Daniel) - 04/09/2026
SFBENY180_CORINOPRETO;700,00;7%;renomeado de SOFABENY-CORINOPRETO180 (padrao SKU do Daniel) - 04/09/2026
SFBENY180_LINHOBEGE;610,00;7%;renomeado de SOFABENY-BEGE180 (padrao SKU do Daniel) - 04/09/2026
SFBENY180_LINHOCINZA;610,00;7%;renomeado de SOFABENY-CINZA180 (padrao SKU do Daniel) - 04/09/2026
