mlb_origem;rota;titulo;preco;tipo;estoque_origem;categoria;catalog_product_id;family_name;variacoes;fotos;envio;frete_gratis;status_origem;tem_descricao
MLB5735682898;catalogo;Conjunto 2 Poltronas Decorativa Mona Luxo Para Sala De Estar E Recepção Com Pés Em Madeira Maciça Cor Linho Crú;1429;gold_special;99986;MLB186067;MLB44998620;Juliflex Bella Design Moderna Mona Futon;0;6;me2;1;paused;1
MLB5735538896;catalogo;Conjunto 2 Poltronas Mona Luxo Decorativa Para Recepção E Sala De Estar Com Pés Em Madeira Maciça Cor Veludo Preto;1459;gold_special;99990;MLB186067;MLB43829445;Bella Design Moderna Poltrona Mona, Decorativa Futon;0;3;me2;1;paused;1
MLB5811943086;catalogo;Cama Infantil Montessori Aurora Baby Com Colchão 150x70 Cm Para Menino E Menina Cor Azul Aurora Baby Premium;799;gold_special;99184;MLB3231;MLB53620943;Jelc Decor Cama Infantil Aurora Baby Infantil Berço;0;8;me2;1;paused;1
MLB3895367079;catalogo;2 Poltronas Decorativas Madeira Maciça Luxo Mona Linho Bege;1409;gold_pro;9979;MLB186067;MLB29561875;LV Moveis LV Premium Mona Poltrona;0;4;not_specified;0;paused;1
MLB5806615136;catalogo;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Corino Preto Variadas;999;gold_special;99999;MLB186067;MLB23855267;Castellar Mobile Premium Mona Poltrona 1;0;5;me2;1;paused;1
MLB4218709313;catalogo;Conjunto - 2 Poltronas Mona Luxo Madeira Maciça Castellar Cor Linho Bege Claro;1529;gold_special;2;MLB1626;MLB46452986;Castellar Mobile Premium Mona Poltrona;0;4;me2;1;paused;0
MLB5735642812;catalogo;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Corino Preto Variadas;999;gold_special;9998;MLB186067;MLB23855267;Castellar Mobile Premium Mona Poltrona 1;0;5;me2;1;paused;1
MLB5806603060;catalogo;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Corino Preto Variadas;999;gold_pro;99999;MLB186067;MLB23855267;Castellar Mobile Premium Mona Poltrona 1;0;5;me2;1;paused;1
MLB5761368190;catalogo;Poltrona Papai Luapa Grecia Marrom A108;1299;gold_special;99983;MLB1626;MLB21960488;Luapa Grécia Poltrona;0;4;me2;1;paused;0
MLB4068376793;variacoes;Poltrona Cadeira Glória Soft Reclinável P/ Sala De Estar;799;gold_special;88859;MLB416807;MLB54015637;;5;30;me2;1;paused;1
MLB5775688674;variacoes;Cama Montessoriana Aurora Baby Lateral Espuma Com Colchão;799;gold_special;89024;MLB455214;MLB60282433;;3;23;me2;1;paused;0
MLB5827253130;catalogo;Cama Montessoriana Aurora Baby Lateral Espuma Com Colchão Cor Rosa Liso;799;gold_special;29775;MLB455214;MLB60411306;;0;8;me2;1;paused;1
MLB5820012700;variacoes;Poltrona Cadeira Glória Soft Reclinável Para Sala De Estar;899;gold_special;49598;MLB186067;MLB66447622;;5;33;me2;1;paused;1
MLB5821146260;catalogo;Cama Montessoriana Aurora Baby Lateral Espuma Com Colchão Cor Bege Liso;799;gold_special;29559;MLB455214;MLB60325724;;0;6;me2;1;paused;1
MLB5775149338;variacoes;Poltrona Cadeira Soft Brasil Reclinável Para Sala De Estar;799;gold_special;29988;MLB458191;;;3;20;me2;1;paused;1
MLB4298404235;catalogo;Poltrona Reclinável Soft Graça De Couro Sintético Marrom Com Porta-copos Liso;1149.9;gold_special;9972;MLB416807;MLB53924923;Juliflex JB Estofados Premium Graça Soft Extensão De Cílios Poltrona 1;0;4;me2;1;active;1
