grupo;mlb_jelc;catalog_product_id;titulo;preco;status_jelc;estoque_jelc;categoria;fotos;envio;frete_gratis;family_name
B-jb-ja-tem;MLB6518930280;MLB65917627;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Rosa - Jb Estofados Aconchego Sem Colchão;799;paused;9990;MLB3231;4;me2;1;JB Estofados 100% Acolchoada Espumática Infantil Solteiro
B-jb-ja-tem;MLB6464413790;MLB53620943;Cama Infantil Montessori Aurora Baby Com Colchão 150x70 Cm Para Menino E Menina Cor Azul Aurora Baby Premium;799;active;9948;MLB3231;8;me2;1;Jelc Decor Cama Infantil Aurora Baby Infantil Berço
B-jb-ja-tem;MLB4533562315;MLB62319974;Mini Cama Montessori Infantil De Espuma Para Quarto Com Proteção E Colchão Rosa Liso;799;paused;9995;MLB3231;6;me2;1;Jb Estofados Cama Infantil Aurora Juvenil 100% Espuma Berço
B-jb-ja-tem;MLB6518066724;MLB66447623;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Bege Liso;899;active;99851;MLB416807;9;me2;1;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Bege Liso
B-jb-ja-tem;MLB6976787608;MLB62555881;Papai Mobiliahomee Cadeira Decor Poltrona Preto Liso;899;paused;9807;MLB458191;6;me2;1;Papai MobiliaHomee Cadeira Decor Poltrona
B-jb-ja-tem;MLB7110677678;MLB67972624;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Preto Jb Estofados Liso;799;paused;9994;MLB458191;7;me2;1;Jb Estofados Reclinável Lash Designer Vitória Poltrona 1
B-jb-ja-tem;MLB7110687248;MLB48484032;Poltrona Reclinável Papai Para Sala De Descanso Em Corino Preto;799;active;9989;MLB416807;5;me2;1;Retratil Tb Eccomerce Cadeira Reclinare Poltrona 1
B-jb-ja-tem;MLB7141469468;MLB39459849;Poltrona Sofa Dream Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso Amamentação E Extensão De Cílios Cor Preta Liso Preta Liso;1099;active;9989;MLB458191;7;me2;1;Poltrona Sofa Dream Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso Amamentação E Extensão De Cílios Cor Preta Liso
B-jb-ja-tem;MLB7541291252;MLB42526637;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Macio Leve Marrom Liso;5000;paused;10000;MLB416807;7;me2;1;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Macio Leve
B-jb-ja-tem;MLB5140920229;MLB62281220;Poltrona Cadeira Glória Papai E Mamãe Decorativa Com Encosto Macio Retrátil E Reclinável Para Sala De Descanso E Amamentação Cor Caramelo Big Ponme;1000;active;9997;MLB458191;5;me2;1;Juliflex Jelc Decor Decorativa Recepção Poltrona 1
B-jb-ja-tem;MLB6976346076;MLB73691155;Poltrona Cadeira Do Papai Com Encosto Macio Reclinável E Retrátil Revestido Em Corino Para Sala De Descanso E Amamentação Jb Estofados Cor Caramelo Liso;899;active;9957;MLB416807;6;me2;1;Poltrona Do Papai Reclinável Em Corino Caramelo Para Sala Liso
B-jb-ja-tem;MLB4892817187;MLB49100139;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Preto Liso;799;active;9997;MLB416807;6;me2;1;Juliflex Jelc Decor Sofa Decorativo Recepção Poltrona 1
B-jb-ja-tem;MLB7237526096;MLB36264611;Papai Ms Móveis Cadeira Decor Poltrona Preto Liso;899;active;9978;MLB458191;6;me2;1;Papai Ms Móveis Cadeira Decor Poltrona
B-jb-ja-tem;MLB4855622867;MLB65303184;Poltrona Papai Reclinável De Corino Marrom Para Sala De Estar E Amamentação Liso;799;paused;9501;MLB458191;6;me2;1;Poltrona Cadeira Do Papai Com Encosto Macio Reclinável E Retrátil Revestido Em Corino Para Sala De Descanso E Amamentação Jb Estofados Cor Marrom Liso
B-jb-ja-tem;MLB4856994067;MLB74149694;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Marrom Jb Estofados Liso;1029.9;paused;9995;MLB458191;7;me2;1;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Marrom Jb Estofados Liso
B-jb-ja-tem;MLB4856987107;MLB63070210;Poltrona Cadeira Beny Preta Do Papai E Mamãe Com Encosto Reclinável E Retrátil Ideal Para Sala De Estar E Extensão De Cílios Jb Estofados Preto Liso;999.9;paused;9982;MLB458191;8;me2;1;Juliflex JB Estofados Retratil Ayla Poltrona 1
B-jb-ja-tem;MLB7166891618;MLB67957465;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Bege Jb Estofados Liso;799;active;9992;MLB458191;7;me2;1;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Bege Jb Estofados Liso
B-jb-ja-tem;MLB7110599876;MLB50390784;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Marrom Liso Marrom Liso;899;paused;9923;MLB416807;7;me2;1;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Marrom Liso
B-jb-ja-tem;MLB5180210821;MLB50390784;Juliflex Jb Estofados Decorativa Quarto Lottus Poltrona 1 Marrom Liso;899;active;9997;MLB416807;7;me2;1;Juliflex JB Estofados Decorativa Quarto Lottus Poltrona 1
B-jb-ja-tem;MLB7585990046;MLB65905769;Poltrona Reclinável De Corino Com Apoio De Pernas, 1 Lugar Bege;978.99;active;9999;MLB458191;6;me2;1;Poltrona Reclinável de Corino com Apoio de Pernas, 1 Lugar Bege
B-jb-ja-tem;MLB7540977634;MLB42526431;Retratil Jb Estofados Estoril Reclinável Poltrona Bege Liso;200;paused;0;MLB416807;6;me2;1;Retratil Jb Estofados Estoril Reclinável Poltrona
B-jb-ja-tem;MLB5151275799;MLB42526637;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Preto Liso;5000;paused;10000;MLB416807;7;not_specified;0;Juliflex JB Estofados Retrátil Decorativa Lottus Poltrona
C-tradicional;MLB5454152438;;Cadeira Monalisa Estofada Com Encosto Fixo Para Escritório Off White;79.9;paused;0;MLB193945;4;me2;1;Cadeira Monalisa Estofada Com Encosto Fixo Para Escritório
C-tradicional;MLB4104244623;;Poltrona Cadeira De Jantar Estofada C/ Encosto Reclinável Mona Lisa Off White Off-white;762.65;paused;99999;MLB32664;4;me2;1;Poltrona Cadeira De Jantar Estofada C/ Encosto Reclinável
C-tradicional;MLB5454649036;;Poltrona Cadeira Decorativa Monalisa Para Sala De Estar Off-white Liso;762.85;paused;99998;MLB416807;4;me2;1;Poltrona Cadeira Decorativa Monalisa Para Sala De Estar
C-tradicional;MLB7388499446;;Poltrona Reclinável De Corino Com Apoio De Pernas, 1 Lugar B Bege;899.99;under_review;5;MLB416807;6;me2;1;Poltrona Reclinável De Corino Com Apoio De Pernas, 1 Lugar B
C-tradicional;MLB7388535224;;Poltrona Reclinável De Corino Com Apoio De Pernas, 1 Lugar B Bege;1390.0;under_review;5;MLB416807;6;me2;1;Poltrona Reclinável De Corino Com Apoio De Pernas, 1 Lugar B
