codigo,descricao,qtde,preco,custo,ult_aquisicao,markup
008743,"CHINELO HAVAIANAS TOP. ATHLETIC H,TOP NOVO",54,48.99,17.28,11/03/25,183.51
008745,CHINELO HAVAIANAS TOP. ATHLETIC HAV.TOP,34,48.99,17.28,11/03/25,183.51
008744,CHINELO HAVAIANAS TOP. ATHLETIC HAV.TOP.MARINHO/B,36,48.99,17.28,11/03/25,183.51
010417,CHINELO HAVAIANAS TOP ATHLETIC PRETO LARANJA,59,49.99,20.94,20/02/26,138.73
006078,CHINELO HAVAIANAS TOP BASIC T BASIC,46,51.99,23.55,02/12/25,120.76
006424,CHINELO HAVAIANAS TOP BASIC T BASIC,9,51.99,22.22,02/12/25,133.98
006421,CHINELO HAVAIANAS TOP BASIC T BASIC,15,51.99,26.21,02/12/25,98.36
010337,CHINELO HAVAIANAS TOP BRASIL 0198 BRANCO,12,54.99,26.77,16/12/25,105.42
010336,CHINELO HAVAIANAS TOP BRASIL 1069 PRETO/PRETO,3,54.99,25.98,16/12/25,111.66
006426,CHINELO HAVAIANAS TOP MAX T MAX CONF,12,69.9,28.79,11/05/26,142.79
006427,CHINELO HAVAIANAS TOP MAX T MAX CONF,4,69.9,28.79,12/05/25,142.79
010100,CHINELO HAVAIANAS TOP MAX BRANCO/AZUL MAX,53,79.99,32.99,22/04/26,142.47
006428,CHINELO HAVAIANAS TOP MAX T MAX CONF PRETO,41,79.99,36.01,11/05/26,122.13
009764,CHINELO HAVAIANAS TOP NARUTO NARUT NOVO,1,79.99,36.63,16/06/25,118.37
010245,CHINELO HAVAIANAS TOP NARUTO AREIA/AREIA,6,79.99,36.63,07/11/25,118.37
008193,CHINELO HAVAIANAS TOP NAUTICAL HAV.BEGE,1,67.9,32.15,16/04/24,111.2
006423,CHINELO HAVAIANAS TOP NAUTICAL T NAUTI,10,69.9,28.79,13/03/25,142.79
009044,CHINELO HAVAIANAS TOP SIMPSONS SIMPSONS AMARELO,4,64.99,31.25,01/12/25,107.97
009949,CHINELO HAVAIANAS TOP SUMMER PESSEGO VIBES,16,59.99,27.72,08/05/26,116.41
009950,CHINELO HAVAIANAS TOP SUMMER BUTTERCREAM,66,59.99,24.99,17/06/26,140.06
009761,CHINELO HAVAIANAS TOP SURFER SURF ZUL LAVANDA,18,69.99,30.36,25/06/25,130.53
009721,CHINELO HAVAIANAS TOP SURFER BRANCO/BRANCO,23,69.9,30.36,20/02/26,130.24
009005,CHINELO HAVAIANAS TOP TIMES I PALMEIRAS I,3,74.99,35.38,19/08/25,111.96
009004,CHINELO HAVAIANAS TOP TIMES I CORINTHIANS I,4,74.99,35.38,19/08/25,111.96
009103,CHINELO HAVAIANAS TOP TIMES I SAO PAULO I,7,74.99,27.16,11/03/25,176.1
009042,CHINELO HAVAIANAS TOP TIMES II SANTOS,15,74.99,37.21,17/06/26,101.53
010102,CHINELO HAVAIANAS TOP TIMES II SAO PAULO,13,74.99,37.21,17/06/26,101.53
009955,CHINELO HAVAIANAS TOP TIMES II CORINTHIANS,15,74.99,37.21,17/06/26,101.53
009954,CHINELO HAVAIANAS TOP TIMES II PALMEIRAS VERDE,19,74.99,37.21,17/06/26,101.53
009620,CHINELO HAVAIANAS TOP TIRAS ROSA BALLET/TIRAS,68,39.99,18.99,17/06/26,110.58
009695,CHINELO HAVAIANAS TOP TIRAS TIRAS CAFE,65,39.99,18.99,17/06/26,110.58
009718,CHINELO HAVAIANAS TOP TIRAS ROSE GOLD TIRAS,54,39.99,18.99,17/06/26,110.58
009724,CHINELO HAVAIANAS TOP WARNER BRANCO/AZUL,11,64.99,26.17,21/06/25,148.34
008737,CHINELO HAVAIANAS TRACK WAVES WAVES-CINZA GELO,10,59.99,23.55,21/03/26,154.73
008656,CHINELO HAVAIANAS TRACK WAVES T/WAVES BRANCO,3,59.99,23.55,21/03/26,154.73
009459,CHINELO HAVAIANAS TRACK WAVES VERDE OLIV,1,59.99,23.55,21/03/26,154.73
006341,CHINELO HAVAIANAS TRADICIONAL HAV TRAD ROSA,59,29.99,14.81,11/03/25,102.5
006331,CHINELO HAVAIANAS TRADICIONAL HAV TRAD PRETO,95,29.99,14.81,23/05/25,102.5
009885,CHINELO HAVAIANAS WARNER CLAS WARN BEGE PALHA,5,69.99,31.4,16/07/25,122.9
002331,CHINELO HAVAINAS FLAT DUO LISO FLAT DUO,1,33.9,17.51,/  /,93.6
010604,CHINELO INFANTIL DEDO CARTAGO BU280,74,54.99,24.61,18/05/26,123.45
010652,CHINELO INFANTIL DEDO HAVAIANAS 2703 VERDE PATRIA,24,39.99,18.32,02/06/26,118.29
010651,CHINELO INFANTIL DEDO HAVAIANAS 0555 MARINHO K,24,39.99,18.32,02/06/26,118.29
010640,CHINELO INFANTIL DEDO HAVAIANAS 348,24,49.99,23.54,02/06/26,112.36
010642,CHINELO INFANTIL DEDO HAVAIANAS 3504 AZUL,24,49.99,23.54,02/06/26,112.36
010641,CHINELO INFANTIL DEDO HAVAIANAS 1440 VERMELHO,24,49.99,23.54,02/06/26,112.36
010637,CHINELO INFANTIL DEDO HAVAIANAS 3138 AZUL MACEIO,24,42.99,18.32,02/06/26,134.66
010707,CHINELO INFANTIL DEDO HAVAIANAS 3190 MANGA ROSA,24,42.99,18.32,24/06/26,134.66
010656,CHINELO INFANTIL DEDO HAVAIANAS 3498 CINZA GELO,24,59.99,24.84,02/06/26,141.51
010657,CHINELO INFANTIL DEDO HAVAIANAS 3504 AZUL,24,59.99,24.84,02/06/26,141.51
010560,CHINELO INFANTIL DEDO IPANEMA CB124 PRETO/PRETO,53,24.99,9.85,05/05/26,153.71
