"Id Anuncio";"Código Marketplace";"Id Marketplace";"Conf. Loja Marketplace";Loja;"Id Derivação";"Código Produto";Produto;Derivação;Título;EAN;"Id Preço";"Preço Antigo";Preço;"Preço Custo Médio";"Preço Custo Atual";Estoque;"Redutor Estoque";"Sit. Envio";Ativo;"Prazo Expedição";"Origem Prazo Expedição";"Data Envio";
543;1736214484681131349;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";50358;2393120;"Chinelo Havaianas Top Basic 25/6";;"Chinelo Havaianas Top Basic";;29038;0,00;61,90;0,00;0,00;58;1;Enviado;Sim;0;;"23/06/2026 15:20:23";https://shop.tiktok.com/view/product/1736214484681131349?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
542;1736214485125662037;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";58739;2564876;"Chinelo Masculino Havaianas Top Athletic FC";;"Chinelo Masculino Havaianas Top Athletic FC";;29037;0,00;57,90;0,00;0,00;40;1;Enviado;Sim;0;;"23/06/2026 15:20:45";https://shop.tiktok.com/view/product/1736214485125662037?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
541;1736215164588557653;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";40007;2363789;"Chinelo Havaianas Top Basic";;"Chinelo Havaianas Top Basic";;29036;0,00;46,90;0,00;0,00;50;1;Enviado;Sim;0;;"23/06/2026 15:21:02";https://shop.tiktok.com/view/product/1736215164588557653?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
540;1736215164786738517;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";39923;2363772;"Chinelo Havaianas Aloha 24/25";;"Chinelo Havaianas Aloha";;29035;0,00;59,90;0,00;0,00;67;1;Enviado;Sim;0;;"23/06/2026 15:21:31";https://shop.tiktok.com/view/product/1736215164786738517?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
538;1736214634832299349;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";50052;2391440;"Chinelo Havaianas Slim Point";;"Chinelo Havaianas Slim Point point ferrungem/smok gree";;29033;0,00;84,90;0,00;0,00;27;1;Enviado;Sim;0;;"23/06/2026 15:22:07";https://shop.tiktok.com/view/product/1736214634832299349?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
537;1736214635014423893;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";39922;2363773;"Chinelo Havaianas Dual";;"Chinelo Havaianas Dual BRANCO CINZA GELO";;29032;0,00;74,90;0,00;0,00;33;1;Enviado;Sim;0;;"23/06/2026 15:22:48";https://shop.tiktok.com/view/product/1736214635014423893?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
536;1736199120940205397;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";57308;2548526;"Chinelo Slide Molekinho 2417.100 Slide Eva";;"Chinelo Slide Molekinho 2417.100 Slide Eva";;29006;0,00;67,90;0,00;0,00;97;1;Enviado;Sim;0;;"22/06/2026 16:28:38";https://shop.tiktok.com/view/product/1736199120940205397?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
535;1736114173296215381;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";56379;2546293;"Babuche Molekinho 2874.202 Gaspea Eva";;"Babuche Molekinho 2874.202 Gaspea Eva";;28822;0,00;99,90;0,00;0,00;221;1;Enviado;Sim;0;;"16/06/2026 13:19:42";https://shop.tiktok.com/view/product/1736114173296215381?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
534;1736098587994260821;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";56130;2545490;"Sandália Infantil Ipanema 27403 Glow";;"Sandália Infantil Ipanema 27403";;28821;0,00;45,90;0,00;0,00;216;1;Enviado;Sim;0;;"15/06/2026 17:04:31";https://shop.tiktok.com/view/product/1736098587994260821?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
533;1736098591009047893;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";60770;2605637;"Sandalia Baby Molekinho 2135.137 Fl Rust Neo";;"Sandalia Infantil Molekinho 2135.137";;28820;0,00;78,90;0,00;0,00;80;1;Enviado;Sim;0;;"15/06/2026 17:04:52";https://shop.tiktok.com/view/product/1736098591009047893?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
532;1736098593734231381;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61931;2642786;"Chinelo Customizado Havaianas Top Liso +3 Piercing";;"Chinelo Havaianas Top Liso com Piercing Feminino Original";;28819;0,00;82,90;0,00;0,00;145;1;Enviado;Sim;0;;"15/06/2026 17:05:27";https://shop.tiktok.com/view/product/1736098593734231381?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
531;1736065807107982677;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";52931;2481816;"Babuche Infantil Molekinha 2591.103 Injetada EVA com Pins";;"Babuche Molekinha 2591.103 Injetada EVA";;28818;0,00;99,90;0,00;0,00;216;1;Enviado;Sim;0;;"13/06/2026 09:38:54";https://shop.tiktok.com/view/product/1736065807107982677?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
530;1736065752445322581;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";58315;2560576;"Babuche Infantil Molekinha Arco Iris 22591.408";;"Babuche Infantil Molekinha 22591.408 Arco Iris";;28817;0,00;141,90;0,00;0,00;74;1;Enviado;Sim;0;;"13/06/2026 09:38:35";https://shop.tiktok.com/view/product/1736065752445322581?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
529;1735871155783370069;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61647;2640305;"Papete Slide Modare Micr Perf Suprem 7208.101";;"Papete Slide Modare Micr Perf Suprem";;28680;0,00;119,99;0,00;0,00;18;1;Enviado;Sim;0;;;https://shop.tiktok.com/view/product/1735871155783370069?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
528;1735571864396399957;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";33975;2344016;"Papete Slide Modare 7208.101 Nobuck";;"Papete Slide Modare 7208.101 Nobuck";;28515;0,00;119,99;0,00;0,00;1019;1;Enviado;Sim;0;;;https://shop.tiktok.com/view/product/1735571864396399957?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
526;1735906566049334613;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61556;2640234;"Papete Slide Feminina Moleca Suprema 5490.132";;"Papete Slide Feminina Moleca Suprema 5490.132";;28423;0,00;110,90;0,00;0,00;34;1;Enviado;Sim;0;;"03/06/2026 16:45:00";https://shop.tiktok.com/view/product/1735906566049334613?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
525;1735903916607505749;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61687;2640603;"Babuche EVA Feminina Yvate Faixa 1816";;"Babuche EVA Yvate Faixa 1816";;28403;0,00;78,90;0,00;0,00;37;1;Enviado;Sim;0;;"03/06/2026 11:31:29";https://shop.tiktok.com/view/product/1735903916607505749?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
524;1735904055227221333;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61686;2640602;"Babuche EVA Masculino Yvate Faixa 1816";;"Babuche EVA Yvate Faixa 1816";;28402;0,00;78,90;0,00;0,00;49;1;Enviado;Sim;0;;"03/06/2026 11:43:32";https://shop.tiktok.com/view/product/1735904055227221333?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
523;1735887702501328213;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61588;2640259;"Chinelo Slide Nuvem Zaxy Air 19419";;"Chinelo Slide Feminino Nuvem Zaxy Air 19419";;28393;0,00;110,90;0,00;0,00;64;1;Enviado;Sim;0;;"02/06/2026 11:39:45";https://shop.tiktok.com/view/product/1735887702501328213?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
522;1735887436002723157;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61663;2640553;"Babuche Feminina Plataforma Yvate Liso 2502";;"Babuche Plataforma Yvate Liso 2502";;28392;0,00;99,90;0,00;0,00;19;1;Enviado;Sim;0;;"02/06/2026 11:13:14";https://shop.tiktok.com/view/product/1735887436002723157?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
521;1735871831387506005;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";59691;2588141;"Chinelo Rasteira Feminino Slide Modare 7162.330 Tresse Berl";;"Chinelo Rasteira Feminino Slide Modare 7162.330";;28355;0,00;110,90;0,00;0,00;24;1;Enviado;Sim;0;;"01/06/2026 12:58:40";https://shop.tiktok.com/view/product/1735871831387506005?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
519;1735870608707585365;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";61285;2620426;"Papete Slide Feminina Zaxy 19359 Mood";;"Papete Slide Feminina Zaxy 19359";;28353;0,00;104,90;0,00;0,00;22;1;Enviado;Sim;0;;"01/06/2026 11:36:10";https://shop.tiktok.com/view/product/1735870608707585365?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
517;1735830549480572245;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";60622;2604605;"Tamanco Feminino Anabela Modare 7151.115 Leaz/Paris";;"Tamanco Feminino Anabela Modare 7151.115";;28231;0,00;157,90;0,00;0,00;39;1;Enviado;Sim;0;;"29/05/2026 12:25:35";https://shop.tiktok.com/view/product/1735830549480572245?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
