sku;custo;imposto;observacao
SOFABENY-CORINOPRETO180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80 corino
SOFABENY-GRAFITE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENY-GRAFITE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY-LINHOAZUL140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENY-LINHOAZUL180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY-LINHOVERDE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENY-LINHOVERDE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY180_CINZA;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY180_GRAFITE;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENYBEGE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENYBEGE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENYCARAMELO140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENYCINZA140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENYCINZA180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENYGRAFITE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENYGRAFITE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY_CINZA;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
SOFACAMA-AMARELO180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-AZUL180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-AZULMARINHO180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-AZULTURQUESA180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-BEGE180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-CINZA180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-MARROM180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-PRETO180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-TERRACOTA180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-VERDE180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMA-VERMELHO180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMAAMARELO180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMAAZUL180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMAAZULMARINHO180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMAAZULTURQUESA;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMABEGE180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
SOFACAMACINZA180;747,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 Mobili | a planilha tem DOIS Sofa Cama 1,80: Mobili 747 e Yara Pe Ferro 762. Tratei SOFACAMA-*=Mobili e SOFAYARA-*=Yara
