sku;item_id;titulo;status;preco;estoque;custo;imposto
SFYARA140_VELUDO_MARROM;MLB7574196068;Sofá Yara Suede Marrom Sala Recepção Decorativo Moderno Leve Marrom Capitonê;active;1336.99;9998;650,00;7,0%
KIT2PUFFGRECIA_LINHOBEGE;MLB7575179386;Puff Redondo Grande Estofado 74cm Para Sala Decorativo Com Estrutura De Madeira Confortável Bege;active;1460.0;9997;680,00;7,0%
SFMOBLY180_VERDE;MLB7575753758;Sofá Cama Casal Queen Reclinável Bicama Estofado Leve Verde Verde Liso;active;1660.0;9975;;
POLTEROS_CORINOBEGE;MLB7575758162;Poltrona Papai Reclinável Sala Bege Conforto Máximo Leve Bege Liso;active;1120.0;9998;480,00;7,0%
POLTGRECIA_LINHO_BEGE;MLB7575760130;Puff Grecia Bege Conforto Hall Leve Compacto Elegante Bege;active;980.0;9999;340,00;7,0%
PUFFGRECIA_PRETO;MLB7575761528;Puff Estilo Poltrona Orgânica Grécia Estilo Sala Espera Tv Preto;active;799.0;10000;340,00;7,0%
POLTGRECIA_LINHOCAPUCCINO;MLB7575762246;Puff Grécia Estilo Poltrona Confortável Sala Tv Espera Leve Cappuccino;active;860.9;10000;340,00;7,0%
KIT2PUFFGRECIA_LINHOBEGE;MLB7575763564;Puf Kit-organico Estilo-poltrona Sofisticado Decorativo Luxo Bege;under_review;1460.0;9997;680,00;7,0%
KIT2PUFFGRECIA_LINHOBEGE;MLB7575845930;Puf Kit-organico Estilo-poltrona Sofisticado Decorativo Luxo Bege;active;1460.0;9997;680,00;7,0%
KIT2PUFFGRECIA-BEGE;MLB7575845936;Puff Redondo Grande Estofado 74cm Para Sala Decorativo Com Estrutura De Madeira Confortável Bege;under_review;1460.0;9997;680,00;7,0%
SFYARA140_VELUDOBEGE;MLB7579697416;Sofá Yara Suede Bege Sala Recepção Decorativo Moderno Leve Bege Capitonê;active;1336.99;9999;650,00;7,0%
SFYARA140_VELUDOBEGE;MLB7585943840;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Bege 140cm;active;1336.99;9999;650,00;7,0%
